fighter_id,name,height,weight,reach,age,image_path,stance_orthodox,stance_southpaw,weight_class_featherweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_unknown,weight_class_welterweight
76,Matt Bessette,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
77,Magomed Bibulatov,4.19,56.7,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
78,Chris Birchler,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
79,Michael Bisping,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
80,Jan Blachowicz,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
81,Curtis Blaydes,4.9,120.2,5.15,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
82,Dashawn Boatwright,4.62,93.0,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
83,Kyle Bochniak,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
84,James Bochnovic,4.9,83.9,5.15,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
85,Tim Boetsch,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
86,Ray Borg,4.11,56.7,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
87,Steve Bosse,4.57,93.0,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
88,Poliana Botelho,4.37,52.2,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
89,David Branch,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
90,Martin Bravo,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
91,Tom Breese,4.83,83.9,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
92,Henry Briones,4.37,61.2,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
93,Jarred Brooks,4.06,56.7,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
94,Will Brooks,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
95,Damien Brown,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
96,Matt Brown,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
97,Randy Brown,4.83,77.1,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
98,Travis Browne,5.08,115.7,5.33,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
99,Derek Brunson,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
100,Dennis Bryant,4.7,93.0,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
101,Wuliji Buren,4.44,65.8,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
102,Shane Burgos,4.57,65.8,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
103,Joshua Burkman,4.5,77.1,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
104,Mads Burnell,4.44,65.8,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
105,Gilbert Burns,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
106,Martin Buschkamp,4.44,65.8,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
107,JP Buys,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
108,Charles Byrd,4.5,83.9,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
109,Alex Caceres,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
110,Priscila Cachoeira,4.32,56.7,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
111,Joanne Calderwood,4.24,52.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
112,Cynthia Calvillo,4.11,52.2,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
113,Frank Camacho,4.44,70.3,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
114,Brian Camozzi,4.75,77.1,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
115,Chris Camozzi,4.75,83.9,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
116,Carlos Candelario,4.37,56.7,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
117,Ronaldo Candido,4.32,56.7,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
118,Guido Cannetti,4.24,61.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
119,Jared Cannonier,4.57,93.0,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
120,Bryan Caraway,4.37,61.2,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
121,Antonio Carlos Jun,4.75,83.9,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
122,Liz Carmouche,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
123,Tim Caron,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
124,Johnny Case,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
125,Cortney Casey,4.32,52.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
126,John Castaneda,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
127,Magnus Cedenblad,4.83,83.9,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
128,Henry Cejudo,4.11,56.7,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
129,Donald Cerrone,4.7,77.1,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
130,Luan Chagas,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
131,Alex Chambers,4.06,52.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
132,Gabriel Checco,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
133,Mark Cherico,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
134,Michael Chiesa,4.7,70.3,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
135,Giga Chikadze,4.62,65.8,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
136,Dooho Choi,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
137,Katlyn Chookagian,4.44,56.7,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
138,Joachim Christensen,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
139,Misha Cirkunov,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
140,Devin Clark,4.62,93.0,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
141,Heather Jo Clark,4.24,52.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
142,Jessica-Rose Clark,4.19,56.7,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
143,Mitch Clarke,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
144,Jamie Colleen,4.06,52.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
145,Jake Collier,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
146,Christian Colombo,4.95,120.2,5.2,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
147,Carlos Condit,4.75,77.1,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
148,Amanda Cooper,4.06,52.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
149,Michael Cora,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
150,Daniel Cormier,4.57,106.6,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
151,Bethe Correia,4.19,61.2,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
152,Paulo Costa,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
153,Oscar Cota,4.75,92.1,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
154,Rashad Coulter,4.57,111.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
155,Colby Covington,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
156,Nathan Coy,4.5,77.1,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
157,Paul Craig,4.9,93.0,5.15,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
158,Allen Crowder,4.83,111.1,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
159,Jim Crute,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
160,Dominick Cruz,4.37,61.2,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
161,Jay Cucciniello,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
162,Zak Cummings,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
163,Patrick Cummins,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
164,Alton Cunningham,4.75,83.9,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
165,Chris Curtis,4.5,77.1,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
166,Ion Cutelaba,4.7,93.0,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
167,Cris Cyborg,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
168,Henrique da Silva,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
169,Cindy Dandois,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
170,Jarjis Danho,4.75,120.2,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
171,Beneil Dariush,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
172,Alexis Davis,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
173,Brandon Davis,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
174,Mike Davis,4.62,65.8,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
175,Hakeem Dawodu,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
176,Grant Dawson,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
177,Martin Day,4.44,56.7,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
178,Angel De Anda,4.44,102.1,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
179,Chris De La Rocha,4.9,113.4,5.15,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
180,Mark De La Rosa,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
181,Montana De La Rosa,4.32,56.7,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
182,Marcos Rogerio De,4.7,93.0,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
183,Germaine de Randam,4.44,61.2,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
