fighter_id,name,height,weight,reach,stance,age,weight_class,image_path
92,Henry Briones,4.37,61.2,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
93,Jarred Brooks,4.06,56.7,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
94,Will Brooks,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
95,Damien Brown,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
96,Matt Brown,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
97,Randy Brown,4.83,77.1,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
98,Travis Browne,5.08,115.7,5.33,orthodox,30,unknown,static/images/default_fighter.jpg
99,Derek Brunson,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
100,Dennis Bryant,4.7,93.0,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
101,Wuliji Buren,4.44,65.8,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
102,Shane Burgos,4.57,65.8,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
103,Joshua Burkman,4.5,77.1,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
104,Mads Burnell,4.44,65.8,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
105,Gilbert Burns,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
106,Martin Buschkamp,4.44,65.8,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
107,JP Buys,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
108,Charles Byrd,4.5,83.9,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
109,Alex Caceres,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
110,Priscila Cachoeira,4.32,56.7,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
111,Joanne Calderwood,4.24,52.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
112,Cynthia Calvillo,4.11,52.2,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
113,Frank Camacho,4.44,70.3,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
114,Brian Camozzi,4.75,77.1,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
115,Chris Camozzi,4.75,83.9,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
116,Carlos Candelario,4.37,56.7,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
117,Ronaldo Candido,4.32,56.7,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
118,Guido Cannetti,4.24,61.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
119,Jared Cannonier,4.57,93.0,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
120,Bryan Caraway,4.37,61.2,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
121,Antonio Carlos Jun,4.75,83.9,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
122,Liz Carmouche,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
